,S.No,actual,pred,alive,plod,name,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
0,1,0,0,0.054000000000000006,0.946,Viserys II Targaryen,,1,,,,Rhaenyra Targaryen,Daemon Targaryen,Aegon IV Targaryen,,,0,0,0,0,0,1.0,0.0,0.0,,0,0,,11,1,1,0.605351170568561,0
1,2,1,0,0.387,0.613,Walder Frey,Lord of the Crossing,1,Rivermen,208.0,,,,,House Frey,Perra Royce,1,1,1,1,1,,,,1.0,1,1,97.0,1,1,1,0.8963210702341129,1
2,3,1,0,0.493,0.507,Addison Hill,Ser,1,,,,,,,House Swyft,,0,0,0,1,0,,,,,0,1,,0,0,0,0.267558528428093,1
3,4,0,0,0.076,0.924,Aemma Arryn,Queen,0,,82.0,105.0,,,,House Arryn,Viserys I Targaryen,0,0,0,0,0,,,,0.0,1,1,23.0,0,0,0,0.183946488294314,0
4,5,1,1,0.617,0.38299999999999995,Sylva Santagar,Greenstone,0,Dornish,276.0,,,,,House Santagar,Eldon Estermont,0,0,0,1,0,,,,1.0,1,1,29.0,0,0,0,0.0434782608695652,1
5,6,1,0,0.021,0.9790000000000001,Tommen Baratheon,,1,,,,Cersei Lannister,Robert Baratheon,Myrcella Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,1
6,7,0,0,0.013999999999999999,0.986,Valarr Targaryen,Hand of the King,1,Valyrian,183.0,209.0,,,,House Targaryen,Kiera of Tyrosh,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,1,0.431438127090301,0
7,8,0,0,0.036000000000000004,0.9640000000000001,Viserys I Targaryen,,1,,,,Alyssa Targaryen,Baelon Targaryen,Rhaenyra Targaryen,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,0.678929765886287,0
8,9,0,1,0.7240000000000001,0.276,Wilbert,Ser,1,,,298.0,,,,,,0,0,1,0,0,,,,,0,1,,0,0,0,0.00668896321070234,0
9,10,1,0,0.391,0.609,Wilbert Osgrey,Ser,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,1
10,11,0,0,0.16699999999999998,0.833,Will,,1,,,297.0,,,,Night's Watch,,1,1,0,0,0,,,,,0,0,,0,0,0,0.163879598662207,0
11,12,1,1,0.985,0.015,Will (orphan),,0,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.00334448160535117,1
12,13,1,1,0.813,0.187,Will (squire),,1,,,,,,,,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
13,14,1,1,0.747,0.253,Will (Standfast),,0,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
14,15,1,1,0.705,0.295,Will (Treb),,1,,,,,,,House Osgrey,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
15,16,1,1,0.996,0.004,Will Humble,,1,Ironborn,,,,,,House Humble,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
16,17,1,1,0.9840000000000001,0.016,Willam,,1,,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0133779264214046,1
17,18,1,1,0.604,0.396,Willem Wylde,Ser,1,,,,,,,House Wylde,,0,0,0,0,0,,,,,0,1,,0,0,0,0.020066889632107,1
18,19,1,1,0.998,0.002,Willifer,Archmaester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
19,20,1,1,0.922,0.078,Willit,,1,,,,,,,House Swyft,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0100334448160535,1
20,21,1,1,0.9740000000000001,0.026000000000000002,Willis Wode,Ser,1,,,,,,,House Wode,,1,0,0,1,0,,,,,0,1,,0,0,0,0.020066889632107,1
21,22,1,0,0.022000000000000002,0.978,Willis Fell,Ser,0,,,,,,,House Fell,,0,0,0,0,0,,,,,0,1,,0,0,0,0.0234113712374581,1
22,23,1,1,0.768,0.23199999999999998,Willow Heddle,,0,,289.0,,,,,Brotherhood Without Banners,,0,0,0,1,0,,,,,0,0,16.0,0,0,0,0.0334448160535117,1
23,24,1,1,0.561,0.439,Willum,Ser,1,,,,,,,,,1,0,0,0,0,,,,,0,1,,0,0,0,0.0,1
24,25,1,1,0.9359999999999999,0.064,Wolmer,,1,,,,,,,House Webber,,0,0,0,0,0,,,,,0,0,,0,0,0,0.00334448160535117,1
25,26,0,0,0.217,0.7829999999999999,Willow Witch-eye,,0,Free Folk,,300.0,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240802675,0
26,27,0,0,0.193,0.807,Woth,,1,,,299.0,,,,,,0,1,0,0,0,,,,,0,0,,0,0,0,0.0301003344481605,0
27,28,1,1,0.71,0.29,Wulfe,,1,Ironborn,,,,,,House Greyjoy,,0,0,0,1,1,,,,,0,0,,0,0,0,0.0234113712374581,1
28,29,1,1,0.809,0.191,Wyl the Whittler,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.00668896321070234,1
29,30,0,0,0.203,0.797,Wyl (guard),,0,Northmen,,298.0,,,,House Stark,,1,0,0,0,0,,,,,0,0,,0,0,0,0.0267558528428093,0
30,31,0,1,0.9079999999999999,0.092,Wyl Waynwood,,0,,,196.0,,,,House Waynwood,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0133779264214046,0
31,32,1,0,0.155,0.845,Wun Weg Wun Dar Wun,,1,,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0501672240802675,1
32,33,1,0,0.107,0.893,Wylla,,1,,,,,,,House Dayne,,1,0,1,0,0,,,,,0,0,,0,0,0,0.0267558528428093,1
33,34,1,1,0.835,0.165,Wynafryd Manderly,,0,,280.0,,,,,House Manderly,,0,0,0,1,1,,,,,0,0,25.0,0,0,0,0.0568561872909698,1
34,35,1,1,0.996,0.004,Xhondo,,1,Summer Isles,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107,1
35,36,1,1,0.9890000000000001,0.011000000000000001,Ygon Farwynd,,1,,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
36,37,1,1,0.998,0.002,Yna,,1,,,,,,,Happy Port,,0,0,0,1,0,,,,,0,0,,0,0,0,0.020066889632107,1
37,38,1,1,0.997,0.003,Yohn Farwynd,,1,Ironborn,,,,,,House Farwynd of the Lonely Light,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0100334448160535,1
38,39,1,1,0.965,0.035,Yorkel,,0,,,,,,,House Targaryen,,0,0,0,0,0,,,,,0,0,,0,0,0,0.0,1
39,40,1,1,0.98,0.02,Yorko Terys,,1,Braavosi,,,,,,,,0,0,0,1,0,,,,,0,0,,0,0,0,0.0234113712374581,1
40,41,1,1,0.76,0.24,Yormwell,Maester,0,,,,,,,,,0,0,0,0,0,,,,,0,1,,0,0,0,0.00334448160535117,1
41,42,0,1,0.759,0.24100000000000002,Young Henly,,1,,240.0,299.0,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,59.0,0,0,0,0.0133779264214046,0
42,43,1,0,0.184,0.816,Ysilla,,0,,,,,,,,Yandry,0,0,0,0,1,,,,1.0,1,0,,0,0,0,0.040133779264214,1
43,44,1,1,0.996,0.004,Zarabelo,Archmaester,0,,,,,,,,,0,0,0,1,0,,,,,0,1,,0,0,0,0.00668896321070234,1
44,45,1,1,0.809,0.191,Zei,,0,,,,,,,,,0,0,1,0,0,,,,,0,0,,0,0,0,0.0133779264214046,1
45,46,1,0,0.498,0.502,Zekko,Khal,1,Dothraki,,,,,,,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0133779264214046,1
46,47,1,1,0.9670000000000001,0.033,Zharaq zo Loraq,,1,Ghiscari,,,,,,House of Loraq,,0,0,0,0,1,,,,,0,0,,0,0,0,0.0100334448160535,1
47,48,1,1,0.9840000000000001,0.016,Wenda,,0,,,,,,,Kingswood Brotherhood,,0,0,1,1,0,,,,,0,0,,0,0,0,0.0167224080267558,1
48,49,1,1,0.8640000000000001,0.136,Wex Pyke,,1,Ironborn,286.0,,,,,House Botley,,0,1,1,1,1,,,,,0,0,19.0,0,0,0,0.11371237458193902,1
49,50,1,0,0.207,0.7929999999999999,Timett,red hand,1,Vale mountain clans,278.0,,,,,Burned Men,,1,1,1,0,1,,,,,0,1,27.0,0,0,0,0.0735785953177257,1
50,51,0,0,0.397,0.603,Joffrey Baratheon,,1,,,,Cersei Lannister,Robert Baratheon,Tommen Baratheon,,,0,0,0,0,0,1.0,1.0,1.0,,0,0,,5,1,1,1.0,0
51,52,0,0,0.021,0.9790000000000001,Laenor Velaryon,Ser,1,Valyrian,94.0,120.0,,,,House Velaryon,Rhaenyra Targaryen,0,0,0,0,0,,,,1.0,1,1,26.0,0,0,0,0.19397993311036701,0
